,05M04,06M21,05M01,06M04,05M17,2430,1058,580,829,1005,basinwide_average
1979-09-01,15.7,26.5,14.1,13.8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.9206080653474604
1979-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0
1979-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0
1979-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0
1980-01-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0
1980-02-01,6.2,7.5,6.4,3.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.6524670963322169
1980-03-01,8.3,13.9,9.6,6.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0290432176905908
1980-04-01,10.4,18.0,12.0,8.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.3186664603424905
1980-05-01,10.4,19.8,14.1,8.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.405136131238544
1980-06-01,10.4,19.8,14.1,8.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.405136131238544
1980-07-01,10.4,19.8,14.1,8.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.405136131238544
1980-08-01,10.4,19.8,14.1,8.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.405136131238544
1980-09-01,10.4,19.8,14.1,8.3,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,1.1241089049908353
1980-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1980-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.7,-999.0,-999.0,0.0095703125
1980-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,1.8,-999.0,-999.0,0.024609375
1981-01-01,0.0,0.0,2.2,0.0,-999.0,-999.0,-999.0,2.7,-999.0,-999.0,0.0836208024923264
1981-02-01,0.8,4.0,2.6,0.0,-999.0,-999.0,-999.0,3.0,-999.0,-999.0,0.1742028671981493
1981-03-01,0.9,4.8,2.6,0.0,-999.0,-999.0,-999.0,5.1,-999.0,-999.0,0.21676102238262498
1981-04-01,3.4,8.6,5.6,0.6,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,0.468554145520412
1981-05-01,3.4,8.6,5.6,0.6,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,0.468554145520412
1981-06-01,3.4,8.6,5.6,0.6,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,0.468554145520412
1981-07-01,3.4,8.6,5.6,0.6,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,0.468554145520412
1981-08-01,3.4,8.6,5.6,0.6,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,0.468554145520412
1981-09-01,3.4,8.6,5.6,0.6,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,0.468554145520412
1981-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1981-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.8,-999.0,-999.0,0.010937500000000001
1981-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,0.030078125000000004
1982-01-01,0.0,0.0,1.7,0.0,-999.0,-999.0,-999.0,5.2,-999.0,-999.0,0.1071853218122522
1982-02-01,1.9,12.2,3.1,4.5,-999.0,-999.0,-999.0,12.1,-999.0,-999.0,0.5893498316306858
1982-03-01,3.1,15.6,7.6,7.0,-999.0,-999.0,-999.0,15.2,-999.0,-999.0,0.8842830446547538
1982-04-01,6.3,21.2,10.6,10.2,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.3116185913693097
1982-05-01,6.3,22.2,10.6,10.2,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.3252808304584938
1982-06-01,6.3,22.2,10.6,10.2,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.3252808304584938
1982-07-01,6.3,22.2,10.6,10.2,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.3252808304584938
1982-08-01,6.3,22.2,10.6,10.2,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.3252808304584938
1982-09-01,6.3,22.2,10.6,10.2,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.3252808304584938
1982-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1982-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,1.3,-999.0,-999.0,0.0177734375
1982-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,6.4,-999.0,-999.0,0.08750000000000001
1983-01-01,0.0,0.0,4.9,0.0,-999.0,-999.0,-999.0,8.6,-999.0,-999.0,0.22160677316472696
1983-02-01,3.9,8.4,5.9,4.2,-999.0,-999.0,-999.0,8.6,-999.0,-999.0,0.5983088518176541
1983-03-01,6.4,9.9,9.2,5.9,-999.0,-999.0,-999.0,10.9,-999.0,-999.0,0.844619440057121
1983-04-01,12.3,12.9,14.0,5.9,-999.0,-999.0,-999.0,15.7,-999.0,-999.0,1.2252649302279621
1983-05-01,12.3,14.6,14.0,5.9,-999.0,-999.0,-999.0,17.6,-999.0,-999.0,1.274467299179575
1983-06-01,12.3,14.6,14.0,5.9,-999.0,-999.0,-999.0,17.6,-999.0,-999.0,1.274467299179575
1983-07-01,12.3,14.6,14.0,5.9,-999.0,-999.0,-999.0,17.6,-999.0,-999.0,1.274467299179575
1983-08-01,12.3,14.6,14.0,5.9,-999.0,-999.0,-999.0,17.6,-999.0,-999.0,1.274467299179575
1983-09-01,12.3,14.6,14.0,5.9,-999.0,-999.0,-999.0,17.6,-999.0,-999.0,1.274467299179575
1983-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1983-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1983-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,4.0,-999.0,-999.0,0.0546875
1984-01-01,0.0,0.0,9.8,0.0,-999.0,-999.0,-999.0,11.4,-999.0,-999.0,0.3639166713294539
1984-02-01,9.6,13.2,11.6,7.2,-999.0,-999.0,-999.0,11.7,-999.0,-999.0,1.0842404231980634
1984-03-01,10.0,15.1,14.3,7.7,-999.0,-999.0,-999.0,13.6,-999.0,-999.0,1.220277485200954
1984-04-01,10.0,16.6,14.3,10.1,-999.0,-999.0,-999.0,16.3,-999.0,-999.0,1.3502159370956586
1984-05-01,10.0,17.6,14.3,10.1,-999.0,-999.0,-999.0,17.1,-999.0,-999.0,1.3748156761848427
1984-06-01,10.0,17.6,14.3,10.1,-999.0,-999.0,-999.0,17.1,-999.0,-999.0,1.3748156761848427
1984-07-01,10.0,17.6,14.3,10.1,-999.0,-999.0,-999.0,17.1,-999.0,-999.0,1.3748156761848427
1984-08-01,10.0,17.6,14.3,10.1,-999.0,-999.0,-999.0,17.1,-999.0,-999.0,1.3748156761848427
1984-09-01,10.0,17.6,14.3,10.1,-999.0,-999.0,-999.0,17.1,-999.0,-999.0,1.3748156761848427
1984-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1984-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,4.2,-999.0,-999.0,0.057421875
1984-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,4.5,-999.0,-999.0,0.0615234375
1985-01-01,0.0,0.0,3.5,0.0,-999.0,-999.0,-999.0,12.8,-999.0,-999.0,0.24930617726051926
1985-02-01,5.0,13.1,5.8,5.4,-999.0,-999.0,-999.0,14.6,-999.0,-999.0,0.810786797825681
1985-03-01,6.4,15.5,9.2,7.4,-999.0,-999.0,-999.0,16.1,-999.0,-999.0,1.037553623182132
1985-04-01,8.5,20.4,11.4,8.9,-999.0,-999.0,-999.0,27.2,-999.0,-999.0,1.409560996112737
1985-05-01,8.5,24.6,11.4,8.9,-999.0,-999.0,-999.0,29.1,-999.0,-999.0,1.4929189627873103
1985-06-01,8.5,24.6,11.4,8.9,-999.0,-999.0,-999.0,29.1,-999.0,-999.0,1.4929189627873103
1985-07-01,8.5,24.6,11.4,8.9,-999.0,-999.0,-999.0,29.1,-999.0,-999.0,1.4929189627873103
1985-08-01,8.5,24.6,11.4,8.9,-999.0,-999.0,-999.0,29.1,-999.0,-999.0,1.4929189627873103
1985-09-01,8.5,24.6,11.4,8.9,-999.0,-999.0,-999.0,29.1,-999.0,-999.0,1.4929189627873103
1985-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1985-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.1,-999.0,-999.0,0.0013671875000000001
1985-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,9.6,-999.0,-999.0,0.13125
1986-01-01,0.0,0.0,3.0,0.0,-999.0,-999.0,-999.0,10.7,-999.0,-999.0,0.20998007158044504
1986-02-01,2.9,14.0,4.0,4.4,-999.0,-999.0,-999.0,10.9,-999.0,-999.0,0.6427950525649295
1986-03-01,4.6,17.8,6.3,7.0,-999.0,-999.0,-999.0,15.2,-999.0,-999.0,0.9305019295796921
1986-04-01,4.6,19.6,7.2,7.0,-999.0,-999.0,-999.0,17.6,-999.0,-999.0,1.007013762664357
1986-05-01,4.6,24.4,7.2,7.0,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.1368503227924405
1986-06-01,4.6,24.4,7.2,7.0,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.1368503227924405
1986-07-01,4.6,24.4,7.2,7.0,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.1368503227924405
1986-08-01,4.6,24.4,7.2,7.0,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.1368503227924405
1986-09-01,4.6,24.4,7.2,7.0,-999.0,-999.0,-999.0,22.3,-999.0,-999.0,1.1368503227924405
1986-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,1.1,-999.0,-999.0,0.015039062500000002
1986-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,0.030078125000000004
1986-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,4.4,-999.0,-999.0,0.06015625000000001
1987-01-01,0.0,0.0,4.2,0.0,-999.0,-999.0,-999.0,6.7,-999.0,-999.0,0.18076897521262308
1987-02-01,3.2,12.0,6.2,6.1,-999.0,-999.0,-999.0,9.2,-999.0,-999.0,0.6990635529072639
1987-03-01,5.7,16.2,9.6,8.3,-999.0,-999.0,-999.0,11.2,-999.0,-999.0,0.9953942892320693
1987-04-01,9.0,19.6,13.9,11.4,-999.0,-999.0,-999.0,15.0,-999.0,-999.0,1.3750504598500366
1987-05-01,9.0,19.6,13.9,11.4,-999.0,-999.0,-999.0,17.5,-999.0,-999.0,1.4092301473500366
1987-06-01,9.0,19.6,13.9,11.4,-999.0,-999.0,-999.0,17.5,-999.0,-999.0,1.4092301473500366
1987-07-01,9.0,19.6,13.9,11.4,-999.0,-999.0,-999.0,17.5,-999.0,-999.0,1.4092301473500366
1987-08-01,9.0,19.6,13.9,11.4,-999.0,-999.0,-999.0,17.5,-999.0,-999.0,1.4092301473500366
1987-09-01,9.0,19.6,13.9,11.4,-999.0,-999.0,-999.0,17.5,-999.0,-999.0,1.4092301473500366
1987-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1987-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.8,-999.0,-999.0,0.010937500000000001
1987-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,3.1,-999.0,-999.0,0.0423828125
1988-01-01,0.0,4.9,6.2,2.4,-999.0,-999.0,-999.0,6.1,-999.0,-999.0,0.3545025252308499
1988-02-01,5.9,6.9,7.0,4.0,-999.0,-999.0,-999.0,7.8,-999.0,-999.0,0.642535638879199
1988-03-01,7.3,8.6,10.2,5.1,-999.0,-999.0,-999.0,9.8,-999.0,-999.0,0.8351296305658431
1988-04-01,7.3,9.0,10.2,5.1,-999.0,-999.0,-999.0,10.6,-999.0,-999.0,0.8515320262015168
1988-05-01,7.3,9.0,10.2,5.1,-999.0,-999.0,-999.0,10.6,-999.0,-999.0,0.8515320262015168
1988-06-01,7.3,9.0,10.2,5.1,-999.0,-999.0,-999.0,10.6,-999.0,-999.0,0.8515320262015168
1988-07-01,7.3,9.0,10.2,5.1,-999.0,-999.0,-999.0,10.6,-999.0,-999.0,0.8515320262015168
1988-08-01,7.3,9.0,10.2,5.1,-999.0,-999.0,-999.0,10.6,-999.0,-999.0,0.8515320262015168
1988-09-01,7.3,9.0,10.2,5.1,-999.0,-999.0,-999.0,10.6,-999.0,-999.0,0.8515320262015168
1988-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1988-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1988-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,0.046484375
1989-01-01,0.0,0.0,5.2,0.0,-999.0,-999.0,-999.0,8.7,-999.0,-999.0,0.22934306157277146
1989-02-01,3.9,11.5,6.9,7.2,-999.0,-999.0,-999.0,12.6,-999.0,-999.0,0.8072434178054333
1989-03-01,8.3,17.3,13.9,9.1,-999.0,-999.0,-999.0,21.3,-999.0,-999.0,1.3398292330737913
1989-04-01,8.3,17.9,13.9,9.1,-999.0,-999.0,-999.0,21.6,-999.0,-999.0,1.3521281390273017
1989-05-01,8.3,17.9,13.9,9.1,-999.0,-999.0,-999.0,21.6,-999.0,-999.0,1.3521281390273017
1989-06-01,8.3,17.9,13.9,9.1,-999.0,-999.0,-999.0,21.6,-999.0,-999.0,1.3521281390273017
1989-07-01,8.3,17.9,13.9,9.1,-999.0,-999.0,-999.0,21.6,-999.0,-999.0,1.3521281390273017
1989-08-01,8.3,17.9,13.9,9.1,-999.0,-999.0,-999.0,21.6,-999.0,-999.0,1.3521281390273017
1989-09-01,8.3,17.9,13.9,9.1,-999.0,-999.0,-999.0,21.6,-999.0,-999.0,1.3521281390273017
1989-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,0.0
1989-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1989-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.5,0.2,-999.0,0.008970606807601802
1990-01-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.5,1.3,-999.0,0.026977564041078372
1990-02-01,1.7,1.5,2.3,0.5,-999.0,-999.0,-999.0,2.2,2.2,-999.0,0.17277069587847574
1990-03-01,2.1,4.3,4.5,3.0,-999.0,-999.0,-999.0,5.9,3.7,-999.0,0.38296714559148004
1990-04-01,4.4,7.5,4.6,3.0,-999.0,-999.0,-999.0,10.2,7.0,-999.0,0.5800980745613743
1990-05-01,4.4,8.2,4.6,3.0,-999.0,-999.0,-999.0,11.8,7.0,-999.0,0.6062968806967317
1990-06-01,4.4,8.2,4.6,3.0,-999.0,-999.0,-999.0,11.8,7.0,-999.0,0.6062968806967317
1990-07-01,4.4,8.2,4.6,3.0,-999.0,-999.0,-999.0,11.8,7.0,-999.0,0.6062968806967317
1990-08-01,4.4,8.2,4.6,3.0,-999.0,-999.0,-999.0,11.8,7.0,-999.0,0.6062968806967317
1990-09-01,4.4,8.2,4.6,3.0,-999.0,-999.0,-999.0,11.8,7.0,-999.0,0.6062968806967317
1990-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1990-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.1,1.2,-999.0,0.02078327626227747
1990-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,3.7,2.9,-999.0,0.08962783516855943
1991-01-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,9.8,6.0,-999.0,0.20987341256138736
1991-02-01,5.1,12.2,5.6,4.4,-999.0,-999.0,-999.0,11.0,7.3,-999.0,0.7176024903270163
1991-03-01,6.4,12.2,6.6,5.1,-999.0,-999.0,-999.0,12.3,8.4,-999.0,0.8173471152294556
1991-04-01,6.4,17.7,7.8,7.7,-999.0,-999.0,-999.0,19.0,13.7,-999.0,1.1297708795450943
1991-05-01,6.4,17.7,7.8,7.7,-999.0,-999.0,-999.0,19.0,13.7,-999.0,1.1297708795450943
1991-06-01,6.4,17.7,7.8,7.7,-999.0,-999.0,-999.0,19.0,13.7,-999.0,1.1297708795450943
1991-07-01,6.4,17.7,7.8,7.7,-999.0,-999.0,-999.0,19.0,13.7,-999.0,1.1297708795450943
1991-08-01,6.4,17.7,7.8,7.7,-999.0,-999.0,-999.0,19.0,13.7,-999.0,1.1297708795450943
1991-09-01,6.4,17.7,7.8,7.7,-999.0,-999.0,-999.0,19.0,13.7,-999.0,1.1297708795450943
1991-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1991-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,1.6,0.9,-999.0,0.03296213167587477
1991-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,5.7,6.1,-999.0,0.16479816909018824
1992-01-01,0.0,0.0,8.2,0.0,-999.0,-999.0,-999.0,7.4,7.7,-999.0,0.35543256159534975
1992-02-01,7.9,8.2,8.6,5.3,-999.0,-999.0,-999.0,8.1,8.2,-999.0,0.7975693647751015
1992-03-01,10.8,9.9,10.9,6.0,-999.0,-999.0,-999.0,10.0,10.5,-999.0,1.0050472691313688
1992-04-01,13.2,11.2,12.3,6.4,-999.0,-999.0,-999.0,15.0,12.7,-999.0,1.206019096733364
1992-05-01,13.2,11.2,12.3,6.4,-999.0,-999.0,-999.0,15.0,12.7,-999.0,1.206019096733364
1992-06-01,13.2,11.2,12.3,6.4,-999.0,-999.0,-999.0,15.0,12.7,-999.0,1.206019096733364
1992-07-01,13.2,11.2,12.3,6.4,-999.0,-999.0,-999.0,15.0,12.7,-999.0,1.206019096733364
1992-08-01,13.2,11.2,12.3,6.4,-999.0,-999.0,-999.0,15.0,12.7,-999.0,1.206019096733364
1992-09-01,13.2,11.2,12.3,6.4,-999.0,-999.0,-999.0,15.0,12.7,-999.0,1.206019096733364
1992-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1992-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.3,0.1,-999.0,0.005054964862134234
1992-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,1.2,3.8,-999.0,0.07587772726110088
1993-01-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,8.2,6.3,-999.0,0.1965552342311234
1993-02-01,10.7,10.4,9.5,8.0,-999.0,-999.0,-999.0,14.2,8.3,-999.0,1.045746373715551
1993-03-01,14.5,16.6,13.1,10.1,-999.0,-999.0,-999.0,23.6,12.1,-999.0,1.4946002041967918
1993-04-01,15.5,16.9,16.2,10.1,-999.0,-999.0,-999.0,26.6,14.7,-999.0,1.6539142727576979
1993-05-01,15.5,19.1,16.2,10.1,-999.0,-999.0,-999.0,26.6,14.7,-999.0,1.6789617110878687
1993-06-01,15.5,19.1,16.2,10.1,-999.0,-999.0,-999.0,26.6,14.7,-999.0,1.6789617110878687
1993-07-01,15.5,19.1,16.2,10.1,-999.0,-999.0,-999.0,26.6,14.7,-999.0,1.6789617110878687
1993-08-01,15.5,19.1,16.2,10.1,-999.0,-999.0,-999.0,26.6,14.7,-999.0,1.6789617110878687
1993-09-01,15.5,19.1,16.2,10.1,-999.0,-999.0,-999.0,26.6,14.7,-999.0,1.6789617110878687
1993-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1993-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.7,0.6,-999.0,0.017797237089472066
1993-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,3.7,2.0,-999.0,0.07489487015935134
1994-01-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,5.7,3.6,-999.0,0.12387326628683241
1994-02-01,4.0,4.2,3.6,2.7,-999.0,-999.0,-999.0,6.3,5.3,-999.0,0.4352923720283545
1994-03-01,5.7,9.0,7.7,6.6,-999.0,-999.0,-999.0,10.9,7.0,-999.0,0.7822654106966224
1994-04-01,6.6,12.4,9.6,6.6,-999.0,-999.0,-999.0,12.6,8.8,-999.0,0.9253049050530914
1994-05-01,6.6,13.6,9.6,6.6,-999.0,-999.0,-999.0,14.4,8.8,-999.0,0.9594749566422754
1994-06-01,6.6,13.6,9.6,6.6,-999.0,-999.0,-999.0,14.4,8.8,-999.0,0.9594749566422754
1994-07-01,6.6,13.6,9.6,6.6,-999.0,-999.0,-999.0,14.4,8.8,-999.0,0.9594749566422754
1994-08-01,6.6,13.6,9.6,6.6,-999.0,-999.0,-999.0,14.4,8.8,-999.0,0.9594749566422754
1994-09-01,6.6,13.6,9.6,6.6,-999.0,-999.0,-999.0,14.4,8.8,-999.0,0.9594749566422754
1994-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1994-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,1.3,-999.0,0.02128094945774504
1994-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,4.0,5.6,-999.0,0.13724469894618374
1995-01-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,5.3,7.1,-999.0,0.17661083854486392
1995-02-01,5.8,10.6,5.8,4.1,-999.0,-999.0,-999.0,9.7,8.7,-999.0,0.720494313626994
1995-03-01,5.8,14.4,6.2,6.3,-999.0,-999.0,-999.0,15.2,9.7,-999.0,0.9052732195654
1995-04-01,9.9,19.2,10.1,6.3,-999.0,-999.0,-999.0,22.8,11.2,-999.0,1.239742988223186
1995-05-01,10.1,24.6,11.6,6.3,-999.0,-999.0,-999.0,24.1,11.4,-999.0,1.3507085520708493
1995-06-01,10.1,24.6,11.6,6.3,-999.0,-999.0,-999.0,24.1,11.4,-999.0,1.3507085520708493
1995-07-01,10.1,24.6,11.6,6.3,-999.0,-999.0,-999.0,24.1,11.4,-999.0,1.3507085520708493
1995-08-01,10.1,24.6,11.6,6.3,-999.0,-999.0,-999.0,24.1,11.4,-999.0,1.3507085520708493
1995-09-01,10.1,24.6,11.6,6.3,-999.0,-999.0,-999.0,24.1,11.4,-999.0,1.3507085520708493
1995-10-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1995-11-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.1,0.0,-999.0,0.0011393229166666667
1995-12-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.1,0.0,-999.0,0.0011393229166666667
1996-01-01,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.7,1.4,-999.0,0.030893205986545935
1996-02-01,1.8,4.8,2.8,2.2,-999.0,-999.0,-999.0,3.6,2.7,-999.0,0.28856797258623096
1996-03-01,4.0,9.3,5.4,4.7,7.3,-999.0,-999.0,8.1,4.1,-999.0,0.6008935067588602
1996-04-01,4.8,11.7,8.2,4.7,8.1,-999.0,-999.0,9.8,5.4,-999.0,0.7299933499932243
1996-05-01,4.8,11.7,8.2,4.7,8.1,-999.0,-999.0,9.8,5.4,-999.0,0.7299933499932243
1996-06-01,4.8,11.7,8.2,4.7,8.1,-999.0,-999.0,9.8,5.4,-999.0,0.7299933499932243
1996-07-01,4.8,11.7,8.2,4.7,8.1,-999.0,-999.0,9.8,5.4,-999.0,0.7299933499932243
1996-08-01,4.8,11.7,8.2,4.7,8.1,-999.0,-999.0,9.8,5.4,-999.0,0.7299933499932243
1996-09-01,4.8,11.7,8.2,4.7,8.1,-999.0,-999.0,9.8,5.4,-999.0,0.7299933499932243
1996-10-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1996-11-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,2.6,2.0,-999.0,0.05345341549372972
1996-12-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,7.1,4.5,-999.0,0.13247721611089186
1997-01-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,8.7,4.9,-999.0,0.15371477420963783
1997-02-01,6.6,14.8,9.0,4.8,11.0,-999.0,-999.0,14.8,7.9,-999.0,0.9383820320076597
1997-03-01,9.3,16.2,12.8,8.6,15.1,-999.0,-999.0,19.9,10.9,-999.0,1.299849261929158
1997-04-01,9.3,17.4,12.8,8.6,15.1,-999.0,-999.0,19.9,10.9,-999.0,1.3115597525770302
1997-05-01,9.3,18.0,12.8,8.6,15.1,-999.0,-999.0,19.9,10.9,-999.0,1.3174149979009664
1997-06-01,9.3,18.0,12.8,8.6,15.1,-999.0,-999.0,19.9,10.9,-999.0,1.3174149979009664
1997-07-01,9.3,18.0,12.8,8.6,15.1,-999.0,-999.0,19.9,10.9,-999.0,1.3174149979009664
1997-08-01,9.3,18.0,12.8,8.6,15.1,-999.0,-999.0,19.9,10.9,-999.0,1.3174149979009664
1997-09-01,9.3,18.0,12.8,8.6,15.1,-999.0,-999.0,19.9,10.9,-999.0,1.3174149979009664
1997-10-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1997-11-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.7,1.0,-999.0,0.02086733274686486
1997-12-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,3.5,6.0,-999.0,0.11836805898118916
1998-01-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,5.4,7.7,-999.0,0.16077611840085942
1998-02-01,7.6,6.5,8.8,4.5,10.1,-999.0,-999.0,6.8,8.0,-999.0,0.7788245758028198
1998-03-01,7.9,8.4,9.4,4.5,11.2,-999.0,-999.0,8.3,10.4,-999.0,0.8771344223295846
1998-04-01,7.9,13.4,9.4,5.2,11.2,-999.0,-999.0,11.0,12.8,-999.0,1.0010813008633872
1998-05-01,7.9,16.1,9.4,5.2,11.5,-999.0,-999.0,14.2,12.8,-999.0,1.0630692066294916
1998-06-01,7.9,16.1,9.4,5.2,11.5,-999.0,-999.0,14.2,12.8,-999.0,1.0630692066294916
1998-07-01,7.9,16.1,9.4,5.2,11.5,-999.0,-999.0,14.2,12.8,-999.0,1.0630692066294916
1998-08-01,7.9,16.1,9.4,5.2,11.5,-999.0,-999.0,14.2,12.8,-999.0,1.0630692066294916
1998-09-01,7.9,16.1,9.4,5.2,11.5,-999.0,-999.0,14.2,12.8,-999.0,1.0630692066294916
1998-10-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,-999.0,0.0
1998-11-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,3.1,1.1,-999.0,0.04570797227155134
1998-12-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,5.6,3.6,-999.0,0.1052005228887135
1999-01-01,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,7.4,4.2,-999.0,0.13119748503683243
1999-02-01,4.7,11.1,4.0,3.2,5.0,-999.0,-999.0,8.6,6.0,-999.0,0.577327263594021
