station_type,state,station_name,date_range,latitude,longitude,elevation,county,basin
SNTL,CO,Trinchera (829),1988-October,37.35,-105.23,10860,Costilla,North Fork Trinchera Creek (130100020601)
SNTL,CO,University Camp (838),1978-October,40.03,-105.58,10300,Boulder,North Boulder Creek (101900050401)
SNTL,CO,Upper Rio Grande (839),1985-October,37.72,-107.26,9400,Hinsdale,Rio Grande Reservoir (130100010106)
SNTL,CO,Upper San Juan (840),1978-October,37.49,-106.84,10200,Mineral,Wolf Creek (140801010203)
SNTL,CO,Upper Taylor (1141),2009-August,38.99,-106.75,10640,Gunnison,Upper Taylor River (140200010101)
SNTL,CO,Ute Creek (1005),2000-August,37.61,-105.37,10650,Costilla,East Fork Ute Creek (130100020604)
SNTL,CO,Vail Mountain (842),1978-October,39.62,-106.38,10300,Eagle,Middle Gore Creek (140100030102)
SNTL,CO,Vallecito (843),1985-October,37.49,-107.51,10880,La Plata,Indian Creek-Los Pinos River (140801011105)
SNTL,CO,Wager Gulch (1188),2011-July,37.88,-107.36,11100,Hinsdale,Lake Sanc Cristobal-Lake Fork (140200020602)
SNTL,CO,Weminuche Creek (1160),2010-October,37.52,-107.32,10740,Archuleta,Sand Creek (140801020203)
SNTL,CO,Whiskey Ck (857),1979-October,37.21,-105.12,10220,Las Animas,North Fork Purgatoire River (110200100102)
SNTL,CO,Wild Basin (1042),2002-December,40.2,-105.6,9560,Boulder,Headwaters North Saint Vrain Creek (101900050202)
SNTL,CO,Willow Creek Pass (869),1978-October,40.35,-106.09,9540,Grand,Upper Willow Creek (140100010102)
SNTL,CO,Willow Park (870),1979-October,40.43,-105.73,10700,Larimer,Fall River (101900060204)
SNTL,CO,Wolf Creek Summit (874),1985-October,37.48,-106.8,11000,Mineral,Wolf Creek (140801010203)
SNTL,CO,Zirkel (1033),2002-August,40.79,-106.6,9340,Jackson,Middle North Fork North Platte River (101800010202)
