,06L09,06L05,06K25,06L12,06K03,06K50,369,1100,773,basinwide_average
1964-03-01,7.6,6.0,-999.0,-999.0,5.0,-999.0,-999.0,-999.0,-999.0,0.5079118669146868
1964-04-01,14.6,10.0,-999.0,-999.0,7.4,-999.0,-999.0,-999.0,-999.0,0.8597213166983773
1964-05-01,17.8,10.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,0.9592795602658719
1964-06-01,17.8,10.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,0.9592795602658719
1964-07-01,17.8,10.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,0.9592795602658719
1964-08-01,17.8,10.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,0.9592795602658719
1964-09-01,17.8,10.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,0.9592795602658719
1964-10-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1964-11-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1964-12-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1965-01-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1965-02-01,11.6,0.0,-999.0,-999.0,8.3,-999.0,-999.0,-999.0,-999.0,0.4876037745900907
1965-03-01,17.3,10.8,-999.0,-999.0,11.7,-999.0,-999.0,-999.0,-999.0,1.0696341995577157
1965-04-01,21.0,19.8,-999.0,-999.0,17.6,-999.0,-999.0,-999.0,-999.0,1.6226981085595222
1965-05-01,24.8,22.0,-999.0,-999.0,17.6,-999.0,-999.0,-999.0,-999.0,1.7763599014593117
1965-06-01,24.8,22.0,-999.0,-999.0,17.6,-999.0,-999.0,-999.0,-999.0,1.7763599014593117
1965-07-01,24.8,22.0,-999.0,-999.0,17.6,-999.0,-999.0,-999.0,-999.0,1.7763599014593117
1965-08-01,24.8,22.0,-999.0,-999.0,17.6,-999.0,-999.0,-999.0,-999.0,1.7763599014593117
1965-09-01,24.8,22.0,-999.0,-999.0,17.6,-999.0,-999.0,-999.0,-999.0,1.7763599014593117
1965-10-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1965-11-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1965-12-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1966-01-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1966-02-01,6.9,4.4,-999.0,-999.0,4.8,-999.0,-999.0,-999.0,-999.0,0.43364333124689103
1966-03-01,6.9,7.0,-999.0,-999.0,6.0,-999.0,-999.0,-999.0,-999.0,0.5561365388459304
1966-04-01,7.5,7.0,-999.0,-999.0,6.8,-999.0,-999.0,-999.0,-999.0,0.5922486203228104
1966-05-01,9.4,7.0,-999.0,-999.0,6.8,-999.0,-999.0,-999.0,-999.0,0.6321719255522381
1966-06-01,9.4,7.0,-999.0,-999.0,6.8,-999.0,-999.0,-999.0,-999.0,0.6321719255522381
1966-07-01,9.4,7.0,-999.0,-999.0,6.8,-999.0,-999.0,-999.0,-999.0,0.6321719255522381
1966-08-01,9.4,7.0,-999.0,-999.0,6.8,-999.0,-999.0,-999.0,-999.0,0.6321719255522381
1966-09-01,9.4,7.0,-999.0,-999.0,6.8,-999.0,-999.0,-999.0,-999.0,0.6321719255522381
1966-10-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1966-11-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1966-12-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1967-01-01,0.0,0.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1967-02-01,8.3,8.2,-999.0,-999.0,7.0,-999.0,-999.0,-999.0,-999.0,0.6551974403196407
1967-03-01,9.7,9.8,-999.0,4.8,10.0,-999.0,-999.0,-999.0,-999.0,0.8984206704879625
1967-04-01,10.9,9.8,-999.0,4.8,10.0,-999.0,-999.0,-999.0,-999.0,0.917331709807165
1967-05-01,10.9,9.8,-999.0,4.8,10.0,-999.0,-999.0,-999.0,-999.0,0.917331709807165
1967-06-01,10.9,9.8,-999.0,4.8,10.0,-999.0,-999.0,-999.0,-999.0,0.917331709807165
1967-07-01,10.9,9.8,-999.0,4.8,10.0,-999.0,-999.0,-999.0,-999.0,0.917331709807165
1967-08-01,10.9,9.8,-999.0,4.8,10.0,-999.0,-999.0,-999.0,-999.0,0.917331709807165
1967-09-01,10.9,9.8,-999.0,4.8,10.0,-999.0,-999.0,-999.0,-999.0,0.917331709807165
1967-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1967-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1967-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1968-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1968-02-01,6.8,0.0,-999.0,3.0,5.7,-999.0,-999.0,-999.0,-999.0,0.4068845726010112
1968-03-01,11.2,0.0,-999.0,3.8,8.5,-999.0,-999.0,-999.0,-999.0,0.5843565874773449
1968-04-01,13.4,0.0,-999.0,3.9,8.9,-999.0,-999.0,-999.0,-999.0,0.6336450522412937
1968-05-01,16.9,0.0,-999.0,3.9,10.3,-999.0,-999.0,-999.0,-999.0,0.7196521977897375
1968-06-01,16.9,0.0,-999.0,3.9,10.3,-999.0,-999.0,-999.0,-999.0,0.7196521977897375
1968-07-01,16.9,0.0,-999.0,3.9,10.3,-999.0,-999.0,-999.0,-999.0,0.7196521977897375
1968-08-01,16.9,0.0,-999.0,3.9,10.3,-999.0,-999.0,-999.0,-999.0,0.7196521977897375
1968-09-01,16.9,0.0,-999.0,3.9,10.3,-999.0,-999.0,-999.0,-999.0,0.7196521977897375
1968-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1968-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1968-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1969-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1969-02-01,10.2,0.0,-999.0,3.6,6.2,-999.0,-999.0,-999.0,-999.0,0.5063074208054108
1969-03-01,12.7,0.0,-999.0,3.8,6.8,-999.0,-999.0,-999.0,-999.0,0.5705347360492232
1969-04-01,14.6,0.0,-999.0,3.8,7.6,-999.0,-999.0,-999.0,-999.0,0.6181057564193527
1969-05-01,14.6,0.0,-999.0,3.8,7.6,-999.0,-999.0,-999.0,-999.0,0.6181057564193527
1969-06-01,14.6,0.0,-999.0,3.8,7.6,-999.0,-999.0,-999.0,-999.0,0.6181057564193527
1969-07-01,14.6,0.0,-999.0,3.8,7.6,-999.0,-999.0,-999.0,-999.0,0.6181057564193527
1969-08-01,14.6,0.0,-999.0,3.8,7.6,-999.0,-999.0,-999.0,-999.0,0.6181057564193527
1969-09-01,14.6,0.0,-999.0,3.8,7.6,-999.0,-999.0,-999.0,-999.0,0.6181057564193527
1969-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1969-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1969-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1970-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1970-02-01,11.6,0.0,-999.0,4.7,7.6,-999.0,-999.0,-999.0,-999.0,0.6230637557137796
1970-03-01,13.3,0.0,-999.0,4.9,10.9,-999.0,-999.0,-999.0,-999.0,0.7341800387986553
1970-04-01,17.5,0.0,-999.0,6.1,11.0,-999.0,-999.0,-999.0,-999.0,0.8722197075534495
1970-05-01,19.5,0.0,-999.0,6.4,12.2,-999.0,-999.0,-999.0,-999.0,0.9475927844550197
1970-06-01,19.5,0.0,-999.0,6.4,12.2,-999.0,-999.0,-999.0,-999.0,0.9475927844550197
1970-07-01,19.5,0.0,-999.0,6.4,12.2,-999.0,-999.0,-999.0,-999.0,0.9475927844550197
1970-08-01,19.5,0.0,-999.0,6.4,12.2,-999.0,-999.0,-999.0,-999.0,0.9475927844550197
1970-09-01,19.5,0.0,-999.0,6.4,12.2,-999.0,-999.0,-999.0,-999.0,0.9475927844550197
1970-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1970-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1970-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1971-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1971-02-01,8.1,0.0,-999.0,1.6,5.0,-999.0,-999.0,-999.0,-999.0,0.33069118406375514
1971-03-01,11.4,0.0,-999.0,2.1,7.7,-999.0,-999.0,-999.0,-999.0,0.47121264601900137
1971-04-01,14.4,0.0,-999.0,2.2,10.3,-999.0,-999.0,-999.0,-999.0,0.5815869593112469
1971-05-01,14.4,0.0,-999.0,2.2,10.3,-999.0,-999.0,-999.0,-999.0,0.5815869593112469
1971-06-01,14.4,0.0,-999.0,2.2,10.3,-999.0,-999.0,-999.0,-999.0,0.5815869593112469
1971-07-01,14.4,0.0,-999.0,2.2,10.3,-999.0,-999.0,-999.0,-999.0,0.5815869593112469
1971-08-01,14.4,0.0,-999.0,2.2,10.3,-999.0,-999.0,-999.0,-999.0,0.5815869593112469
1971-09-01,14.4,0.0,-999.0,2.2,10.3,-999.0,-999.0,-999.0,-999.0,0.5815869593112469
1971-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1971-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1971-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1972-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1972-02-01,9.1,0.0,-999.0,5.0,5.5,-999.0,-999.0,-999.0,-999.0,0.5548027016950977
1972-03-01,12.5,0.0,-999.0,6.2,10.8,-999.0,-999.0,-999.0,-999.0,0.7948205303161389
1972-04-01,14.2,0.0,-999.0,6.2,12.6,-999.0,-999.0,-999.0,-999.0,0.861275387609808
1972-05-01,14.2,0.0,-999.0,6.2,12.6,-999.0,-999.0,-999.0,-999.0,0.861275387609808
1972-06-01,14.2,0.0,-999.0,6.2,12.6,-999.0,-999.0,-999.0,-999.0,0.861275387609808
1972-07-01,14.2,0.0,-999.0,6.2,12.6,-999.0,-999.0,-999.0,-999.0,0.861275387609808
1972-08-01,14.2,0.0,-999.0,6.2,12.6,-999.0,-999.0,-999.0,-999.0,0.861275387609808
1972-09-01,14.2,0.0,-999.0,6.2,12.6,-999.0,-999.0,-999.0,-999.0,0.861275387609808
1972-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1972-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1972-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1973-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1973-02-01,9.8,0.0,-999.0,5.2,6.1,-999.0,-999.0,-999.0,-999.0,0.5906634579601064
1973-03-01,12.6,0.0,-999.0,5.2,6.1,-999.0,-999.0,-999.0,-999.0,0.6347892163715791
1973-04-01,15.7,0.0,-999.0,6.5,9.9,-999.0,-999.0,-999.0,-999.0,0.8428297252357575
1973-05-01,19.2,0.0,-999.0,7.1,12.9,-999.0,-999.0,-999.0,-999.0,0.9989176854086076
1973-06-01,19.2,0.0,-999.0,7.1,12.9,-999.0,-999.0,-999.0,-999.0,0.9989176854086076
1973-07-01,19.2,0.0,-999.0,7.1,12.9,-999.0,-999.0,-999.0,-999.0,0.9989176854086076
1973-08-01,19.2,0.0,-999.0,7.1,12.9,-999.0,-999.0,-999.0,-999.0,0.9989176854086076
1973-09-01,19.2,0.0,-999.0,7.1,12.9,-999.0,-999.0,-999.0,-999.0,0.9989176854086076
1973-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1973-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1973-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1974-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1974-02-01,10.7,0.0,-999.0,4.0,7.9,-999.0,-999.0,-999.0,-999.0,0.5748634922510627
1974-03-01,14.0,0.0,-999.0,4.9,8.5,-999.0,-999.0,-999.0,-999.0,0.6923258540573473
1974-04-01,16.1,0.0,-999.0,5.5,11.6,-999.0,-999.0,-999.0,-999.0,0.8285545027054684
1974-05-01,17.8,0.0,-999.0,5.5,12.1,-999.0,-999.0,-999.0,-999.0,0.8663629801460421
1974-06-01,17.8,0.0,-999.0,5.5,12.1,-999.0,-999.0,-999.0,-999.0,0.8663629801460421
1974-07-01,17.8,0.0,-999.0,5.5,12.1,-999.0,-999.0,-999.0,-999.0,0.8663629801460421
1974-08-01,17.8,0.0,-999.0,5.5,12.1,-999.0,-999.0,-999.0,-999.0,0.8663629801460421
1974-09-01,17.8,0.0,-999.0,5.5,12.1,-999.0,-999.0,-999.0,-999.0,0.8663629801460421
1974-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1974-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1974-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1975-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1975-02-01,11.4,0.0,-999.0,4.3,4.4,-999.0,-999.0,-999.0,-999.0,0.5261819288828182
1975-03-01,17.3,0.0,-999.0,5.2,11.5,-999.0,-999.0,-999.0,-999.0,0.8278501084795191
1975-04-01,20.9,0.0,-999.0,6.7,14.8,-999.0,-999.0,-999.0,-999.0,1.0443602892310917
1975-05-01,22.9,0.0,-999.0,6.7,14.8,-999.0,-999.0,-999.0,-999.0,1.075878688096429
1975-06-01,22.9,0.0,-999.0,6.7,14.8,-999.0,-999.0,-999.0,-999.0,1.075878688096429
1975-07-01,22.9,0.0,-999.0,6.7,14.8,-999.0,-999.0,-999.0,-999.0,1.075878688096429
1975-08-01,22.9,0.0,-999.0,6.7,14.8,-999.0,-999.0,-999.0,-999.0,1.075878688096429
1975-09-01,22.9,0.0,-999.0,6.7,14.8,-999.0,-999.0,-999.0,-999.0,1.075878688096429
1975-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1975-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1975-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1976-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1976-02-01,6.5,0.0,-999.0,3.2,5.3,-999.0,-999.0,-999.0,-999.0,0.40495045262327745
1976-03-01,9.6,0.0,-999.0,3.8,8.4,-999.0,-999.0,-999.0,-999.0,0.5569383007040674
1976-04-01,11.7,0.0,-999.0,4.7,10.0,-999.0,-999.0,-999.0,-999.0,0.6775253000012228
1976-05-01,11.7,0.0,-999.0,4.7,10.0,-999.0,-999.0,-999.0,-999.0,0.6775253000012228
1976-06-01,11.7,0.0,-999.0,4.7,10.0,-999.0,-999.0,-999.0,-999.0,0.6775253000012228
1976-07-01,11.7,0.0,-999.0,4.7,10.0,-999.0,-999.0,-999.0,-999.0,0.6775253000012228
1976-08-01,11.7,0.0,-999.0,4.7,10.0,-999.0,-999.0,-999.0,-999.0,0.6775253000012228
1976-09-01,11.7,0.0,-999.0,4.7,10.0,-999.0,-999.0,-999.0,-999.0,0.6775253000012228
1976-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1976-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1976-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1977-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1977-02-01,3.4,0.0,-999.0,0.3,0.9,-999.0,-999.0,-999.0,-999.0,0.09082525306428454
1977-03-01,4.0,0.0,-999.0,1.1,2.5,-999.0,-999.0,-999.0,-999.0,0.1819694979243886
1977-04-01,7.3,0.0,-999.0,1.1,3.5,-999.0,-999.0,-999.0,-999.0,0.25601053286226916
1977-05-01,7.3,0.0,-999.0,1.1,3.6,-999.0,-999.0,-999.0,-999.0,0.2582141005432765
1977-06-01,7.3,0.0,-999.0,1.1,3.6,-999.0,-999.0,-999.0,-999.0,0.2582141005432765
1977-07-01,7.3,0.0,-999.0,1.1,3.6,-999.0,-999.0,-999.0,-999.0,0.2582141005432765
1977-08-01,7.3,0.0,-999.0,1.1,3.6,-999.0,-999.0,-999.0,-999.0,0.2582141005432765
1977-09-01,7.3,0.0,-999.0,1.1,3.6,-999.0,-999.0,-999.0,-999.0,0.2582141005432765
1977-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1977-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1977-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1978-01-01,0.0,0.0,-999.0,0.0,9.6,-999.0,-999.0,-999.0,-999.0,0.21154249737670514
1978-02-01,11.9,0.0,-999.0,1.7,10.0,-999.0,-999.0,-999.0,-999.0,0.5065584812463121
1978-03-01,15.1,0.0,-999.0,2.2,12.9,-999.0,-999.0,-999.0,-999.0,0.6499111586203061
1978-04-01,16.8,0.0,-999.0,2.2,12.9,-999.0,-999.0,-999.0,-999.0,0.6767017976558432
1978-05-01,16.8,0.0,-999.0,2.2,15.7,-999.0,-999.0,-999.0,-999.0,0.7384016927240488
1978-06-01,16.8,0.0,-999.0,2.2,15.7,-999.0,-999.0,-999.0,-999.0,0.7384016927240488
1978-07-01,16.8,0.0,-999.0,2.2,15.7,-999.0,-999.0,-999.0,-999.0,0.7384016927240488
1978-08-01,16.8,0.0,-999.0,2.2,15.7,-999.0,-999.0,-999.0,-999.0,0.7384016927240488
1978-09-01,16.8,0.0,-999.0,2.2,15.7,-999.0,-999.0,-999.0,-999.0,0.7384016927240488
1978-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1978-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1978-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1979-01-01,0.0,0.0,-999.0,0.0,5.7,-999.0,-999.0,-999.0,-999.0,0.1256033578174187
1979-02-01,13.8,0.0,-999.0,6.0,11.7,-999.0,-999.0,-999.0,-999.0,0.8235316881315782
1979-03-01,17.7,0.0,-999.0,6.0,13.4,-999.0,-999.0,-999.0,-999.0,0.9224532164961114
1979-04-01,18.2,0.0,-999.0,9.3,17.0,-999.0,-999.0,-999.0,-999.0,1.2011917772342993
1979-05-01,18.2,0.0,-999.0,9.3,17.0,-999.0,-999.0,-999.0,-999.0,1.2011917772342993
1979-06-01,18.2,0.0,-999.0,9.3,17.0,-999.0,-999.0,-999.0,-999.0,1.2011917772342993
1979-07-01,18.2,0.0,-999.0,9.3,17.0,-999.0,-999.0,-999.0,-999.0,1.2011917772342993
1979-08-01,18.2,0.0,-999.0,9.3,17.0,-999.0,-999.0,-999.0,-999.0,1.2011917772342993
1979-09-01,18.2,0.0,-999.0,9.3,17.0,-999.0,-999.0,-999.0,-999.0,1.2011917772342993
1979-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1979-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1979-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1980-01-01,0.0,0.0,-999.0,0.0,5.3,-999.0,-999.0,-999.0,-999.0,0.1167890870933893
1980-02-01,10.9,0.0,-999.0,5.8,10.2,-999.0,-999.0,-999.0,-999.0,0.7331685839856321
1980-03-01,14.6,0.0,-999.0,6.2,12.6,-999.0,-999.0,-999.0,-999.0,0.8675790673828756
1980-04-01,18.4,0.0,-999.0,6.7,13.0,-999.0,-999.0,-999.0,-999.0,0.9652980723912872
1980-05-01,21.7,0.0,-999.0,7.7,15.3,-999.0,-999.0,-999.0,-999.0,1.1260250400627447
1980-06-01,21.7,0.0,-999.0,7.7,15.3,-999.0,-999.0,-999.0,-999.0,1.1260250400627447
1980-07-01,21.7,0.0,-999.0,7.7,15.3,-999.0,-999.0,-999.0,-999.0,1.1260250400627447
1980-08-01,21.7,0.0,-999.0,7.7,15.3,-999.0,0.0,-999.0,-999.0,0.9008200320501958
1980-09-01,21.7,0.0,-999.0,7.7,15.3,-999.0,0.0,-999.0,-999.0,0.9008200320501958
1980-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.0
1980-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.0
1980-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,0.7,-999.0,-999.0,0.012860892388451442
1981-01-01,0.0,0.0,-999.0,0.0,2.1,-999.0,1.7,-999.0,-999.0,0.06825353284144833
1981-02-01,2.2,0.0,-999.0,1.8,3.0,-999.0,1.7,-999.0,-999.0,0.19543236729409172
1981-03-01,2.2,0.0,-999.0,1.8,4.2,-999.0,3.0,-999.0,-999.0,0.24047113146745777
1981-04-01,7.6,0.0,-999.0,4.2,8.6,-999.0,6.7,-999.0,-999.0,0.565531399543242
1981-05-01,7.6,0.0,-999.0,4.2,8.6,-999.0,6.7,-999.0,-999.0,0.565531399543242
1981-06-01,7.6,0.0,-999.0,4.2,8.6,-999.0,6.7,-999.0,-999.0,0.565531399543242
1981-07-01,7.6,0.0,-999.0,4.2,8.6,-999.0,6.7,-999.0,-999.0,0.565531399543242
1981-08-01,7.6,0.0,-999.0,4.2,8.6,-999.0,6.7,-999.0,-999.0,0.565531399543242
1981-09-01,7.6,0.0,-999.0,4.2,8.6,-999.0,6.7,-999.0,-999.0,0.565531399543242
1981-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.0
1981-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.0
1981-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,1.3,-999.0,-999.0,0.023884514435695538
1982-01-01,0.0,0.0,-999.0,0.0,0.0,-999.0,6.2,-999.0,-999.0,0.11391076115485563
1982-02-01,10.1,0.0,-999.0,3.2,10.7,-999.0,8.8,-999.0,-999.0,0.6262207703104722
1982-03-01,13.6,0.0,-999.0,4.8,12.0,-999.0,9.3,-999.0,-999.0,0.7767406119974745
1982-04-01,15.9,0.0,-999.0,5.2,13.9,-999.0,12.2,-999.0,-999.0,0.9110852645216638
1982-05-01,16.0,0.0,-999.0,5.2,13.9,-999.0,12.2,-999.0,-999.0,0.9123460004762773
1982-06-01,16.0,0.0,-999.0,5.2,13.9,-999.0,12.2,-999.0,-999.0,0.9123460004762773
1982-07-01,16.0,0.0,-999.0,5.2,13.9,-999.0,12.2,-999.0,-999.0,0.9123460004762773
1982-08-01,16.0,0.0,-999.0,5.2,13.9,-999.0,12.2,-999.0,-999.0,0.9123460004762773
1982-09-01,16.0,0.0,-999.0,5.2,13.9,-999.0,12.2,-999.0,-999.0,0.9123460004762773
1982-10-01,0.0,0.0,-999.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.0
1982-11-01,0.0,0.0,-999.0,0.0,0.0,-999.0,0.3,-999.0,-999.0,0.005511811023622047
1982-12-01,0.0,0.0,-999.0,0.0,0.0,-999.0,1.8,-999.0,-999.0,0.03307086614173228
1983-01-01,0.0,0.0,-999.0,0.0,4.8,-999.0,2.0,-999.0,-999.0,0.12136240577482904
1983-02-01,3.5,3.4,4.7,1.4,5.3,-999.0,2.8,-999.0,-999.0,0.33750260309194463
1983-03-01,4.8,4.1,6.1,1.6,7.6,-999.0,4.2,-999.0,-999.0,0.446356853445166
1983-04-01,11.7,8.5,8.9,3.3,10.7,-999.0,8.5,-999.0,-999.0,0.8108014076258167
1983-05-01,14.6,10.6,9.1,3.3,11.8,-999.0,10.3,-999.0,-999.0,0.9231450734443931
1983-06-01,14.6,10.6,9.1,3.3,11.8,-999.0,10.3,-999.0,-999.0,0.9231450734443931
1983-07-01,14.6,10.6,9.1,3.3,11.8,-999.0,10.3,-999.0,-999.0,0.9231450734443931
1983-08-01,14.6,10.6,9.1,3.3,11.8,-999.0,10.3,-999.0,-999.0,0.9231450734443931
1983-09-01,14.6,10.6,9.1,3.3,11.8,-999.0,10.3,-999.0,-999.0,0.9231450734443931
1983-10-01,0.0,0.0,0.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.0
1983-11-01,0.0,0.0,0.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.0
1983-12-01,0.0,0.0,0.0,0.0,0.0,-999.0,4.3,-999.0,-999.0,0.06583552055993
1984-01-01,0.0,0.0,9.9,0.0,10.4,-999.0,11.7,-999.0,-999.0,0.4768186414115041
1984-02-01,15.2,0.0,11.8,4.6,11.9,-999.0,11.8,-999.0,-999.0,0.8658764358963463
1984-03-01,22.1,0.0,13.2,5.3,12.5,-999.0,12.9,-999.0,-999.0,1.0116012810413506
1984-04-01,23.9,0.0,14.2,7.6,15.6,-999.0,14.8,-999.0,-999.0,1.2087735907482309
1984-05-01,26.3,0.0,16.8,7.6,15.9,-999.0,18.1,-999.0,-999.0,1.3269759993376633
1984-06-01,26.3,0.0,16.8,7.6,15.9,-999.0,18.1,-999.0,-999.0,1.3269759993376633
1984-07-01,26.3,0.0,16.8,7.6,15.9,-999.0,18.1,-999.0,-999.0,1.3269759993376633
1984-08-01,26.3,0.0,16.8,7.6,15.9,-999.0,18.1,-999.0,-999.0,1.3269759993376633
1984-09-01,26.3,0.0,16.8,7.6,15.9,-999.0,18.1,-999.0,-999.0,1.3269759993376633
1984-10-01,0.0,0.0,0.0,0.0,0.0,-999.0,0.0,-999.0,-999.0,0.0
1984-11-01,0.0,0.0,0.0,0.0,0.0,-999.0,1.8,-999.0,-999.0,0.02755905511811024
1984-12-01,0.0,0.0,0.0,0.0,0.0,-999.0,3.5,-999.0,-999.0,0.05358705161854768
1985-01-01,0.0,0.0,5.2,0.0,6.5,-999.0,4.9,-999.0,-999.0,0.24662104461350867
1985-02-01,10.0,10.4,7.2,3.5,7.7,-999.0,6.6,-999.0,-999.0,0.7345103385621067
