View,Site_Name,Station,Ntwk,Elev,Lat,Lon,installed,state,County,Hydrologic_Unit,SHEF
Current Historic,Ivanhoe,06K10S,SNTL,10400,39.29,-106.55,1992,CO,Pitkin,Headwaters Fryingpan River 140100040501,IVHC2
Current Historic,Jackwhacker Gulch,05K26S,SNTL,10960,39.57,-105.8,1998,CO,Clear Creek,Geneva Creek 101900020201,JWGC2
Current Historic,Joe Wright,05J37S,SNTL,10120,40.53,-105.89,1979,CO,Larimer,Joe Wright Creek 101900070204,JWRC2
Current Historic,Jones Pass,05K21,SNOW,10400,39.77,-105.9,1957,CO,Grand,Headwaters Williams Fork 140100010402,JNPC2
Current Historic,Jones Pass,05K21S,SNTL,10400,39.76,-105.91,1999,CO,Grand,Headwaters Williams Fork 140100010402,JNPC2
Current Historic,Keystone,07L04,SNOW,9960,38.87,-107.03,1961,CO,Gunnison,Coal Creek 140200010204,KYSC2
Current Historic,Kiln,06K30S,SNTL,9600,39.32,-106.61,1980,CO,Pitkin,Deeds Creek-Fryingpan River 140100040504,KLNC2
Current Historic,La Veta Pass,05M01,SNOW,9440,37.6,-105.2,1938,CO,Costilla,Headwaters angre de Cristo Creek 130100020502,LVPC2
Current Historic,Lake City,07M08,SNOW,10160,37.98,-107.25,1948,CO,Hinsdale,Lake Sanc Cristobal-Lake Fork 140200020602,LKYC2
Current Historic,Lake Eldora,05J41S,SNTL,9700,39.94,-105.59,1979,CO,Gilpin,Middle Boulder Creek 101900050402,LELC2
Current Historic,Lake Irene,05J10,SNOW,10700,40.42,-105.82,1938,CO,Grand,Headwaters Colorado River 140100010302,LKIC2
Current Historic,Lake Irene,05J10S,SNTL,10700,40.41,-105.82,1979,CO,Grand,Headwaters Colorado River 140100010302,LKIC2
Current Historic,Lapland,05K07,SNOW,9300,39.89,-105.89,1938,CO,Grand,Saint Louis Creek 140100010203,GLPC2
Current Historic,Left Hand,05J44,SNOW,9900,40.08,-105.53,2008,CO,Boulder,Upper Left Hand Creek 101900050302,
Current Historic,Lemon Reservoir,07M23,SNOW,8700,37.45,-107.67,1968,CO,La Plata,Virginia Gulch-Florida River 140801040702,LMNC2
Current Historic,Lily Pond,06M23S,SNTL,11000,37.38,-106.55,1980,CO,Conejos,Headwaters Alamosa River 130100020302,LPDC2
Current Historic,Lizard Head Pass,07M29S,SNTL,10200,37.8,-107.92,1980,CO,Dolores,Headwaters Dolores River 140300020201,LIZC2
Current Historic,Lone Cone,08M07S,SNTL,9600,37.89,-108.2,1980,CO,San Miguel,Headwaters Beaver Creek 140300030302,LNCC2
Current Historic,Long Draw Reservoir,05J27,SNOW,9980,40.51,-105.77,1971,CO,Larimer,La Poudre Pass Creek 101900070203,LRVC2
Current Historic,Long Draw Resv,05J27S,SNTL,9980,40.51,-105.77,2009,CO,Larimer,La Poudre Pass Creek 101900070203,LRVC2
Current Historic,Longs Peak,05J22,SNOW,10500,40.27,-105.58,1951,CO,Larimer,Cabin Creek 101900050203,LPKC2
Current Historic,Lost Dog,06J38S,SNTL,9320,40.82,-106.75,1998,CO,Routt,Outlet North Fork Elk Creek 140500010203,LOTC2
Current Historic,Lostman,06K49,SNOW,10626,39.12,-106.62,2006,CO,Pitkin,Headwaters Roaring Fork River 140100040102,
Current Historic,Love Lake,07M10,SNOW,10000,37.67,-107.02,1962,CO,Mineral,Headwaters Red Mountain Creek 130100010501,LLKC2
Current Historic,Loveland Basin,05K05S,SNTL,11400,39.67,-105.9,1992,CO,Clear Creek,Headwaters Clear Creek 101900040102,LBAC2
Current Historic,Lynx Pass,06J06S,SNTL,8880,40.08,-106.67,1980,CO,Routt,Headwaters Rock Creek 140100011001,LYNC2
Current Historic,Mancos,08M02S,SNTL,10000,37.43,-108.17,1994,CO,Montezuma,West Mancos River 140801070102,MNCC2
Current Historic,Mc Clure Pass,07K09S,SNTL,9500,39.13,-107.29,1980,CO,Pitkin,Lee Creek 140200040203,MCPC2
Current Historic,Mc Intyre,05J15,SNOW,9100,40.78,-105.93,1949,CO,Larimer,Nunn Creek 101800100103,MCIC2
Current Historic,Mc Kenzie Gulch,06K28,SNOW,8500,39.5,-106.75,1961,CO,Eagle,West Brush Creek 140100030401,MKZC2
Current Historic,Mccoy Park,06K44S,SNTL,9480,39.6,-106.54,2003,CO,Eagle,June Creek-Eagle River 140100030302,MCYC2
Current Historic,Medano Pass,05M16S,SNTL,9649,37.85,-105.44,1996,CO,Saguache,Medano Creek 130100030604,MDPC2
Current Historic,Mesa Lakes,08K04,SNOW,10000,39.05,-108.08,1937,CO,Mesa,Mesa Creek 140100051308,MESC2
Current Historic,Mesa Lakes,08K04S,SNTL,10000,39.06,-108.06,1986,CO,Mesa,Coon Creek 140100051307,MESC2
Current Historic,Michigan Creek,05K28S,SNTL,10600,39.44,-105.91,1998,CO,Park,Michigan Creek 101900010404,MIHC2
Current Historic,Middle Creek,07M21S,SNTL,11250,37.62,-107.03,1980,CO,Mineral,Headwaters Red Mountain Creek 130100010501,MDLC2
Current Historic,Middle Fork Camp,06K12S,SNTL,8940,39.8,-106.03,2001,CO,Grand,Headwaters Williams Fork 140100010402,MFKC2
Current Historic,Middle Fork Campground,06K12,SNOW,9000,39.78,-106.02,1936,CO,Grand,Headwaters Williams Fork 140100010402,MFCC2
Current Historic,Milner Pass,05J24,SNOW,9750,40.4,-105.83,1952,CO,Larimer,Headwaters Colorado River 140100010302,MILC2
Current Historic,Mineral Creek,07M14S,SNTL,10040,37.85,-107.73,1979,CO,San Juan,Mineral Creek 140801040103,MINC2
Current Historic,Molas Lake,07M12S,SNTL,10500,37.75,-107.69,1986,CO,San Juan,Tenmile Creek-Animas River 140801040302,MLSC2
Current Historic,Monarch Offshoot,06L09,SNOW,10500,38.52,-106.33,1941,CO,Chaffee,Middle Fork South Arkansas River 110200010601,MOOC2
Current Historic,Moon Pass,06M26S,SNTL,11140,37.97,-106.56,2009,CO,Saguache,California Gulch 130100040201,MOPC2
Current Historic,Mosquito Creek,06K34,SNOW,10980,39.28,-106.13,1967,CO,Park,Mosquito Creek 101900010101,MOQC2
Current Historic,Nast Lake,06K06,SNOW,8700,39.3,-106.6,1936,CO,Pitkin,Headwaters Fryingpan River 140100040501,NSSC2
Current Historic,Nast Lake,06K06S,SNTL,8700,39.3,-106.61,1986,CO,Pitkin,Deeds Creek-Fryingpan River 140100040504,NSSC2
Current Historic,Never Summer,06J27S,SNTL,10280,40.4,-105.96,2002,CO,Jackson,Jack Creek 101800010401,NEVC2
Current Historic,Niwot,05J42S,SNTL,9910,40.04,-105.54,1980,CO,Boulder,North Boulder Creek 101900050401,NIWC2
Current Historic,North Inlet Grand Lake,05J09,SNOW,9000,40.28,-105.77,1938,CO,Grand,North Inlet 140100010305,NILC2
Current Historic,North Lost Trail,07K01S,SNTL,9200,39.08,-107.14,1985,CO,Gunnison,Yule Creek-Crystal River 140100040703,NLSC2
Current Historic,Overland Res.,07K14S,SNTL,9840,39.09,-107.63,1989,CO,Delta,Cow Creek 140200040101,OVRC2
Current Historic,Park Cone,06L02,SNOW,9600,38.82,-106.58,1936,CO,Gunnison,Taylor Park Reservoir 140200010107,PKCC2
Current Historic,Park Cone,06L02S,SNTL,9600,38.82,-106.59,1980,CO,Gunnison,Taylor Park Reservoir 140200010107,PKCC2
Current Historic,Park Reservoir,07K06S,SNTL,9960,39.05,-107.87,1979,CO,Delta,Surface Creek 140200050111,PRVC2
Current Historic,Park View,06J02,SNOW,9160,40.37,-106.1,1936,CO,Jackson,Headwaters Illinois River 101800010402,PKVC2
