,06K42,06K04,06K49,06K06,1101,542,547,556,658,669,737,basinwide_average
1995-12-01,0.0,0.0,-999.0,0.0,-999.0,4.7,4.1,2.2,0.9,1.5,5.9,0.11956057418703168
1996-01-01,0.0,7.6,-999.0,0.0,-999.0,7.4,6.7,6.1,3.3,3.0,9.9,0.29438630344692573
1996-02-01,0.0,7.6,-999.0,5.9,-999.0,12.9,11.7,10.1,7.8,8.5,22.0,0.6367154813742837
1996-03-01,0.0,7.6,-999.0,10.6,-999.0,17.1,15.9,14.5,11.4,13.8,33.5,0.9329091495449909
1996-04-01,0.0,21.0,-999.0,11.8,-999.0,21.0,16.2,17.1,12.4,19.8,42.0,1.1711045514011091
1996-05-01,30.8,22.6,-999.0,11.8,-999.0,21.4,16.2,17.1,12.4,19.8,46.2,1.3596054311867338
1996-06-01,30.8,22.6,-999.0,11.8,-999.0,21.4,16.2,17.1,12.4,19.8,46.2,1.3596054311867338
1996-07-01,30.8,22.6,-999.0,11.8,-999.0,21.4,16.2,17.1,12.4,19.8,46.2,1.3596054311867338
1996-08-01,30.8,22.6,-999.0,11.8,-999.0,21.4,16.2,17.1,12.4,19.8,46.2,1.3596054311867338
1996-09-01,30.8,22.6,-999.0,11.8,-999.0,21.4,16.2,17.1,12.4,19.8,46.2,1.3596054311867338
1996-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-11-01,0.0,0.0,-999.0,0.0,-999.0,2.4,2.2,1.9,0.7,3.0,4.0,0.08982018916321743
1996-12-01,0.0,0.0,-999.0,0.0,-999.0,6.3,3.9,4.1,2.9,6.9,11.0,0.22417498570794636
1997-01-01,0.0,9.9,-999.0,0.0,-999.0,12.2,8.3,8.5,7.3,11.8,21.9,0.5220175615918758
1997-02-01,0.0,13.9,-999.0,10.0,-999.0,16.1,12.4,13.0,11.1,18.4,33.3,0.9444278457225015
1997-03-01,0.0,17.8,-999.0,10.0,-999.0,17.4,14.6,14.5,12.3,21.5,38.3,1.0585445090531918
1997-04-01,25.8,17.8,-999.0,10.0,-999.0,20.1,17.7,14.5,12.3,21.5,42.1,1.2453761198736095
1997-05-01,30.2,20.5,-999.0,10.0,-999.0,23.0,21.1,14.5,12.3,21.5,47.7,1.3455531971366828
1997-06-01,30.2,20.5,-999.0,10.0,-999.0,23.0,21.1,14.5,12.3,21.5,47.7,1.3455531971366828
1997-07-01,30.2,20.5,-999.0,10.0,-999.0,23.0,21.1,14.5,12.3,21.5,47.7,1.3455531971366828
1997-08-01,30.2,20.5,-999.0,10.0,-999.0,23.0,21.1,14.5,12.3,21.5,47.7,1.3455531971366828
1997-09-01,30.2,20.5,-999.0,10.0,-999.0,23.0,21.1,14.5,12.3,21.5,47.7,1.3455531971366828
1997-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-11-01,0.0,0.0,-999.0,0.0,-999.0,1.4,1.1,1.0,0.0,0.8,1.8,0.036915141593780315
1997-12-01,0.0,0.0,-999.0,0.0,-999.0,5.0,3.2,2.9,0.6,3.1,7.2,0.132591871789584
1998-01-01,0.0,5.1,-999.0,0.0,-999.0,6.7,4.6,3.9,1.4,5.9,10.1,0.23340597907921248
1998-02-01,0.0,7.6,-999.0,5.4,-999.0,9.3,7.2,6.5,3.7,11.1,16.5,0.48591211680865193
1998-03-01,0.0,9.7,-999.0,5.5,-999.0,11.8,9.8,8.5,5.7,14.6,21.5,0.6187942860150156
1998-04-01,18.6,12.1,-999.0,6.8,-999.0,14.9,13.1,11.2,8.5,17.7,28.5,0.9018620393053476
1998-05-01,21.8,14.5,-999.0,6.8,-999.0,15.4,15.8,11.2,8.5,17.7,32.8,0.9688809839761165
1998-06-01,21.8,14.5,-999.0,6.8,-999.0,15.4,15.8,11.2,8.5,17.7,32.8,0.9688809839761165
1998-07-01,21.8,14.5,-999.0,6.8,-999.0,15.4,15.8,11.2,8.5,17.7,32.8,0.9688809839761165
1998-08-01,21.8,14.5,-999.0,6.8,-999.0,15.4,15.8,11.2,8.5,17.7,32.8,0.9688809839761165
1998-09-01,21.8,14.5,-999.0,6.8,-999.0,15.4,15.8,11.2,8.5,17.7,32.8,0.9688809839761165
1998-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-11-01,0.0,0.0,-999.0,0.0,-999.0,0.4,0.0,0.2,0.0,0.0,2.4,0.011962341332098796
1998-12-01,0.0,0.0,-999.0,0.0,-999.0,3.1,1.4,1.5,0.1,2.8,6.7,0.08454428840662599
1999-01-01,0.0,2.5,-999.0,0.0,-999.0,4.3,2.4,4.0,1.0,3.8,8.5,0.16275269518075705
1999-02-01,0.0,7.9,-999.0,3.4,-999.0,8.9,7.0,7.6,4.3,8.9,16.9,0.4543918870354915
1999-03-01,0.0,10.4,-999.0,5.1,-999.0,11.7,9.3,9.8,6.7,11.8,21.7,0.6200830442063325
1999-04-01,18.6,10.9,-999.0,5.1,-999.0,13.5,10.4,9.8,6.7,11.8,24.8,0.7505300014671863
1999-05-01,20.0,15.2,-999.0,5.1,-999.0,17.8,15.3,9.8,6.7,11.8,32.2,0.8702059686159803
1999-06-01,20.0,15.2,-999.0,5.1,-999.0,17.8,15.3,9.8,6.7,11.8,32.2,0.8702059686159803
1999-07-01,20.0,15.2,-999.0,5.1,-999.0,17.8,15.3,9.8,6.7,11.8,32.2,0.8702059686159803
1999-08-01,20.0,15.2,-999.0,5.1,-999.0,17.8,15.3,9.8,6.7,11.8,32.2,0.8702059686159803
1999-09-01,20.0,15.2,-999.0,5.1,-999.0,17.8,15.3,9.8,6.7,11.8,32.2,0.8702059686159803
1999-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-01,0.0,0.0,-999.0,0.0,-999.0,0.8,0.3,0.3,0.0,0.3,0.0,0.012168569213392936
1999-12-01,0.0,0.0,-999.0,0.0,-999.0,2.3,1.0,1.3,0.0,1.0,0.7,0.04304364393288775
2000-01-01,0.0,3.1,-999.0,0.0,-999.0,4.7,3.2,3.1,1.4,2.9,3.5,0.15027092416040336
2000-02-01,0.0,3.1,-999.0,4.4,-999.0,8.0,7.8,6.8,4.7,6.7,10.7,0.4043456470658126
2000-03-01,0.0,9.4,-999.0,7.8,-999.0,10.9,11.6,10.5,7.7,12.2,18.3,0.6820675924619454
2000-04-01,22.6,13.1,-999.0,7.8,-999.0,14.2,15.2,13.4,9.2,16.5,28.7,0.9785497737889656
2000-05-01,26.4,13.3,-999.0,7.8,-999.0,14.2,15.2,13.4,9.2,16.5,28.7,0.9998935676827673
2000-06-01,26.4,13.3,-999.0,7.8,-999.0,14.2,15.2,13.4,9.2,16.5,28.7,0.9998935676827673
2000-07-01,26.4,13.3,-999.0,7.8,-999.0,14.2,15.2,13.4,9.2,16.5,28.7,0.9998935676827673
2000-08-01,26.4,13.3,-999.0,7.8,-999.0,14.2,15.2,13.4,9.2,16.5,28.7,0.9998935676827673
2000-09-01,26.4,13.3,-999.0,7.8,-999.0,14.2,15.2,13.4,9.2,16.5,28.7,0.9998935676827673
2000-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-11-01,0.0,0.0,-999.0,0.0,-999.0,1.0,1.3,0.0,0.0,0.4,2.8,0.02668086732084705
2000-12-01,0.0,0.0,-999.0,0.0,-999.0,3.5,2.9,1.8,0.0,2.9,6.2,0.09786577679344398
2001-01-01,0.0,5.1,-999.0,0.0,-999.0,6.8,5.6,4.0,3.0,5.5,11.7,0.26516774019350137
2001-02-01,0.0,6.9,-999.0,0.0,-999.0,8.5,6.7,5.5,3.2,7.0,14.4,0.33035755924764415
2001-03-01,0.0,10.1,-999.0,0.0,-999.0,11.0,8.4,8.0,6.0,10.7,21.5,0.4856025760750259
2001-04-01,0.0,12.5,-999.0,0.0,-999.0,14.3,11.3,10.6,6.2,12.0,29.4,0.602481192147776
2001-05-01,0.0,13.3,-999.0,0.0,-999.0,14.3,11.6,10.6,6.2,12.0,29.4,0.6096391766121965
2001-06-01,0.0,13.3,-999.0,0.0,-999.0,14.3,11.6,10.6,6.2,12.0,29.4,0.6096391766121965
2001-07-01,0.0,13.3,-999.0,0.0,-999.0,14.3,11.6,10.6,6.2,12.0,29.4,0.6096391766121965
2001-08-01,0.0,13.3,-999.0,0.0,-999.0,14.3,11.6,10.6,6.2,12.0,29.4,0.6096391766121965
2001-09-01,0.0,13.3,-999.0,0.0,-999.0,14.3,11.6,10.6,6.2,12.0,29.4,0.6096391766121965
2001-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,0.0,0.0,-999.0,0.0,-999.0,0.3,0.5,0.2,0.0,0.0,4.1,0.019866357475658854
2001-12-01,0.0,0.0,-999.0,0.0,-999.0,3.5,3.0,2.5,0.6,1.7,9.7,0.1159503321792578
2002-01-01,0.0,2.1,-999.0,0.0,-999.0,5.5,4.6,4.1,1.7,4.3,13.3,0.21122547418439927
2002-02-01,0.0,4.9,-999.0,0.0,-999.0,7.0,6.4,5.4,4.5,5.8,17.0,0.32176621928130067
2002-03-01,0.0,7.5,-999.0,0.0,-999.0,9.9,8.3,7.1,5.1,7.0,20.1,0.4119897253467298
2002-04-01,0.0,10.5,-999.0,0.0,-999.0,11.3,9.4,7.6,5.1,9.0,27.8,0.4895660643468116
2002-05-01,0.0,10.5,-999.0,0.0,-999.0,11.3,9.4,7.6,5.1,9.0,27.8,0.4895660643468116
2002-06-01,0.0,10.5,-999.0,0.0,-999.0,11.3,9.4,7.6,5.1,9.0,27.8,0.4895660643468116
2002-07-01,0.0,10.5,-999.0,0.0,-999.0,11.3,9.4,7.6,5.1,9.0,27.8,0.4895660643468116
2002-08-01,0.0,10.5,-999.0,0.0,-999.0,11.3,9.4,7.6,5.1,9.0,27.8,0.4895660643468116
2002-09-01,0.0,10.5,-999.0,0.0,-999.0,11.3,9.4,7.6,5.1,9.0,27.8,0.4895660643468116
2002-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,-999.0,0.0,-999.0,1.1,2.2,1.5,0.5,1.7,3.1,0.06340184119835303
2002-12-01,0.0,0.0,-999.0,0.0,-999.0,5.5,4.9,4.4,3.0,3.8,7.9,0.19979309821684366
2003-01-01,0.0,0.0,-999.0,0.0,-999.0,8.0,6.3,6.2,3.0,5.9,12.7,0.27134226228561475
2003-02-01,0.0,7.1,-999.0,0.0,-999.0,9.1,7.2,6.9,4.4,6.8,14.4,0.3666717286945771
2003-03-01,0.0,10.3,-999.0,0.0,-999.0,12.7,10.0,9.2,6.3,11.0,23.1,0.5311275259446858
2003-04-01,0.0,13.7,-999.0,0.0,-999.0,16.2,13.2,11.3,7.3,13.1,28.6,0.6615381027848837
2003-05-01,0.0,14.5,-999.0,0.0,-999.0,16.2,13.8,11.3,7.3,13.1,28.6,0.670701619752762
2003-06-01,0.0,14.5,-999.0,0.0,-999.0,16.2,13.8,11.3,7.3,13.1,28.6,0.670701619752762
2003-07-01,0.0,14.5,-999.0,0.0,-999.0,16.2,13.8,11.3,7.3,13.1,28.6,0.670701619752762
2003-08-01,0.0,14.5,-999.0,0.0,-999.0,16.2,13.8,11.3,7.3,13.1,28.6,0.670701619752762
2003-09-01,0.0,14.5,-999.0,0.0,-999.0,16.2,13.8,11.3,7.3,13.1,28.6,0.670701619752762
2003-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,-999.0,0.0,-999.0,3.8,2.7,1.9,0.6,4.4,8.4,0.12398973613605827
2004-01-01,0.0,5.5,-999.0,0.0,-999.0,7.2,5.1,4.4,3.5,8.5,14.9,0.30689075858425907
2004-02-01,0.0,7.5,-999.0,4.1,-999.0,9.1,7.1,6.2,5.8,11.7,21.1,0.5038768823370702
2004-03-01,0.0,9.7,-999.0,4.7,-999.0,11.9,8.3,7.6,6.3,14.7,25.3,0.6075317518458021
2004-04-01,0.0,10.5,-999.0,4.7,-999.0,12.9,9.6,7.6,6.3,14.7,27.3,0.6342892969499392
2004-05-01,0.0,10.5,-999.0,4.7,-999.0,12.9,11.3,7.6,6.3,14.7,28.1,0.6481183631154069
2004-06-01,0.0,10.5,-999.0,4.7,-999.0,12.9,11.3,7.6,6.3,14.7,28.1,0.6481183631154069
2004-07-01,0.0,10.5,-999.0,4.7,-999.0,12.9,11.3,7.6,6.3,14.7,28.1,0.6481183631154069
2004-08-01,0.0,10.5,-999.0,4.7,-999.0,12.9,11.3,7.6,6.3,14.7,28.1,0.6481183631154069
2004-09-01,0.0,10.5,-999.0,4.7,-999.0,12.9,11.3,7.6,6.3,14.7,28.1,0.6481183631154069
2004-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,-999.0,0.0,-999.0,1.1,0.7,0.3,0.0,1.3,2.5,0.03109833593657448
2004-12-01,0.0,0.0,-999.0,0.0,-999.0,4.1,2.9,2.2,0.9,4.6,7.6,0.1329614470090206
2005-01-01,0.0,3.8,-999.0,0.0,-999.0,7.2,5.0,4.3,1.8,7.3,14.4,0.2624930636600953
2005-02-01,0.0,7.7,-999.0,5.8,-999.0,11.0,7.8,6.7,4.4,15.9,26.5,0.5822081319253707
2005-03-01,0.0,10.7,-999.0,6.8,-999.0,12.8,9.8,8.6,4.6,20.8,34.7,0.721937456595523
2005-04-01,0.0,12.1,-999.0,6.8,-999.0,15.3,12.3,10.8,6.2,24.1,42.4,0.8515102180037573
2005-05-01,0.0,13.5,-999.0,6.8,-999.0,15.3,14.1,10.8,6.2,24.1,43.4,0.8756406814301971
2005-06-01,0.0,13.5,-999.0,6.8,-999.0,15.3,14.1,10.8,6.2,24.1,43.4,0.8756406814301971
2005-07-01,0.0,13.5,-999.0,6.8,-999.0,15.3,14.1,10.8,6.2,24.1,43.4,0.8756406814301971
2005-08-01,0.0,13.5,-999.0,6.8,-999.0,15.3,14.1,10.8,6.2,24.1,43.4,0.8756406814301971
2005-09-01,0.0,13.5,-999.0,6.8,-999.0,15.3,14.1,10.8,6.2,24.1,43.4,0.8756406814301971
2005-10-01,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,-999.0,0.0,-999.0,1.9,2.4,0.5,0.0,0.9,0.9,0.042193458299170664
2005-12-01,0.0,0.0,-999.0,0.0,-999.0,5.7,5.9,3.4,1.9,2.2,7.4,0.17196346850172992
2006-01-01,0.0,9.0,-999.0,0.0,-999.0,8.9,10.9,8.0,4.9,7.7,15.6,0.42874747475758057
2006-02-01,23.3,11.2,-999.0,7.9,-999.0,11.5,14.1,11.0,7.2,11.3,21.5,0.8411648535026508
2006-03-01,25.7,12.9,-999.0,8.8,-999.0,13.8,15.5,13.1,7.8,12.4,25.1,0.9510063729157796
2006-04-01,31.0,15.6,-999.0,8.8,-999.0,15.9,17.7,15.4,7.8,17.2,36.6,1.1134997346945115
2006-05-01,31.2,15.6,-999.0,8.8,-999.0,15.9,17.7,15.4,7.8,17.2,36.6,1.1145552968473307
2006-06-01,31.2,15.6,0.0,8.8,-999.0,15.9,17.7,15.4,7.8,17.2,36.6,1.0030997671625974
2006-07-01,31.2,15.6,0.0,8.8,-999.0,15.9,17.7,15.4,7.8,17.2,36.6,1.0030997671625974
2006-08-01,31.2,15.6,0.0,8.8,-999.0,15.9,17.7,15.4,7.8,17.2,36.6,1.0030997671625974
2006-09-01,31.2,15.6,0.0,8.8,-999.0,15.9,17.7,15.4,7.8,17.2,36.6,1.0030997671625974
2006-10-01,0.0,0.0,0.0,0.0,-999.0,0.9,0.7,0.0,0.0,0.0,0.0,0.009681951108202075
2006-11-01,0.0,0.0,0.0,0.0,-999.0,2.5,1.5,1.1,0.0,2.4,3.5,0.0572708796667175
2006-12-01,0.0,0.0,0.0,0.0,-999.0,5.5,4.2,3.9,2.6,5.5,8.8,0.1791246325899977
2007-01-01,0.0,0.0,0.0,0.0,-999.0,7.6,5.4,5.3,2.6,7.9,12.6,0.23551252809197512
2007-02-01,11.1,0.0,9.9,4.2,-999.0,10.4,7.1,7.0,4.0,10.4,15.8,0.49410027708471327
2007-03-01,14.6,0.0,14.6,5.3,-999.0,13.5,9.7,9.5,6.0,14.0,24.0,0.6789510699098853
2007-04-01,17.2,12.9,14.6,5.3,-999.0,15.4,12.4,10.9,6.0,14.0,28.4,0.817835208390693
2007-05-01,19.0,13.8,16.6,5.3,-999.0,15.4,12.8,10.9,6.0,14.0,28.4,0.8459135203479129
2007-06-01,19.0,13.8,16.6,5.3,-999.0,15.4,12.8,10.9,6.0,14.0,28.4,0.8459135203479129
2007-07-01,19.0,13.8,16.6,5.3,-999.0,15.4,12.8,10.9,6.0,14.0,28.4,0.8459135203479129
2007-08-01,19.0,13.8,16.6,5.3,-999.0,15.4,12.8,10.9,6.0,14.0,28.4,0.8459135203479129
2007-09-01,19.0,13.8,16.6,5.3,-999.0,15.4,12.8,10.9,6.0,14.0,28.4,0.8459135203479129
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,1.6,2.3,1.7,1.7,0.0,0.7,0.6,0.05035922154152335
2007-12-01,0.0,0.0,0.0,0.0,2.4,4.4,2.6,1.8,0.8,1.3,1.7,0.08733485397862764
2008-01-01,0.0,0.0,0.0,0.0,8.0,8.6,7.6,6.2,4.7,8.2,13.5,0.31567622165711284
2008-02-01,20.0,9.8,18.7,8.4,12.9,13.8,12.7,11.3,8.8,17.7,29.6,0.9356122590605402
2008-03-01,25.2,15.8,20.6,10.8,17.1,19.0,17.1,15.6,11.9,24.3,40.4,1.2420250506599866
2008-04-01,28.7,20.0,24.6,10.8,21.4,23.5,21.3,19.5,13.8,28.8,48.8,1.4714839443034975
2008-05-01,30.9,22.5,26.7,10.8,21.4,23.5,22.6,19.5,13.8,28.8,52.0,1.5206972973414479
2008-06-01,30.9,22.5,26.7,10.8,21.4,23.5,22.6,19.5,13.8,28.8,52.0,1.5206972973414479
2008-07-01,30.9,22.5,26.7,10.8,21.4,23.5,22.6,19.5,13.8,28.8,52.0,1.5206972973414479
2008-08-01,30.9,22.5,26.7,10.8,21.4,23.5,22.6,19.5,13.8,28.8,52.0,1.5206972973414479
2008-09-01,30.9,22.5,26.7,10.8,21.4,23.5,22.6,19.5,13.8,28.8,52.0,1.5206972973414479
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.2,1.3,0.6,0.0,0.0,0.0,0.0,0.011728925931968441
2008-12-01,0.0,0.0,0.0,0.0,3.0,6.1,4.5,2.0,0.6,2.5,6.8,0.12954119871838654
2009-01-01,0.0,0.0,0.0,0.0,7.7,10.6,9.1,6.6,4.4,11.1,19.9,0.36446862092448673
2009-02-01,16.8,12.4,15.3,6.4,10.7,14.1,11.9,9.4,6.7,16.1,28.5,0.8237097480766316
2009-03-01,17.4,15.1,17.0,7.4,12.6,16.8,13.9,11.2,8.2,20.4,35.4,0.9720372937736182
2009-04-01,25.5,16.4,20.3,7.4,14.2,19.7,16.6,12.1,10.0,21.7,42.4,1.123556802243545
2009-05-01,25.5,16.4,23.5,7.4,14.2,19.7,18.6,12.1,10.0,21.7,43.4,1.1543324784207936
2009-06-01,25.5,16.4,23.5,7.4,14.2,19.7,18.6,12.1,10.0,21.7,43.4,1.1543324784207936
2009-07-01,25.5,16.4,23.5,7.4,14.2,19.7,18.6,12.1,10.0,21.7,43.4,1.1543324784207936
2009-08-01,25.5,16.4,23.5,7.4,14.2,19.7,18.6,12.1,10.0,21.7,43.4,1.1543324784207936
2009-09-01,25.5,16.4,23.5,7.4,14.2,19.7,18.6,12.1,10.0,21.7,43.4,1.1543324784207936
2009-10-01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0006319400559718336
2009-11-01,0.0,0.0,0.0,0.0,1.3,3.1,2.3,0.5,0.0,1.0,6.2,0.06271310313534205
2009-12-01,0.0,0.0,0.0,0.0,2.4,4.3,3.1,1.4,0.0,2.5,8.5,0.10135686905072529
2010-01-01,0.0,0.0,0.0,0.0,4.1,7.6,5.3,3.2,1.0,6.0,17.0,0.20705513433172784
2010-02-01,0.0,6.0,7.5,2.0,5.4,9.4,7.1,4.7,1.9,8.2,22.8,0.38304549424675916
2010-03-01,14.8,8.1,11.2,4.6,7.9,12.8,11.2,7.5,4.2,12.8,29.1,0.6584553886787435
2010-04-01,18.4,10.8,15.0,4.6,9.8,15.8,13.2,9.4,5.1,15.7,33.7,0.7996501951488839
2010-05-01,18.5,10.8,15.0,4.6,9.8,15.8,14.2,9.4,5.1,15.7,33.7,0.8055516501299222
2010-06-01,18.5,10.8,15.0,4.6,9.8,15.8,14.2,9.4,5.1,15.7,33.7,0.8055516501299222
2010-07-01,18.5,10.8,15.0,4.6,9.8,15.8,14.2,9.4,5.1,15.7,33.7,0.8055516501299222
2010-08-01,18.5,10.8,15.0,4.6,9.8,15.8,14.2,9.4,5.1,15.7,33.7,0.8055516501299222
2010-09-01,18.5,10.8,15.0,4.6,9.8,15.8,14.2,9.4,5.1,15.7,33.7,0.8055516501299222
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,1.5,1.4,2.1,1.3,0.6,1.1,2.6,0.05755230068377399
2010-12-01,0.0,0.0,0.0,0.0,4.4,5.8,4.3,3.8,2.0,4.9,8.2,0.18088013951945772
2011-01-01,0.0,0.0,0.0,0.0,7.9,9.3,7.3,6.7,4.0,11.9,22.3,0.35546397454201845
2011-02-01,16.8,11.1,13.7,6.4,11.0,12.6,10.7,9.3,7.5,15.0,25.7,0.7902006578744825
2011-03-01,21.8,14.3,17.8,7.6,13.7,16.4,14.0,12.6,10.3,20.8,35.1,1.034050667650989
2011-04-01,27.1,17.1,20.7,7.9,17.4,20.1,17.7,16.1,10.9,24.9,40.5,1.2244241043658768
2011-05-01,31.0,21.4,23.7,7.9,21.8,24.8,24.0,16.5,10.9,25.0,53.8,1.40550402621194
2011-06-01,31.0,21.4,23.7,7.9,21.8,24.8,24.0,16.5,10.9,25.0,53.8,1.40550402621194
2011-07-01,31.0,21.4,23.7,7.9,21.8,24.8,24.0,16.5,10.9,25.0,53.8,1.40550402621194
2011-08-01,31.0,21.4,23.7,7.9,21.8,24.8,24.0,16.5,10.9,25.0,53.8,1.40550402621194
2011-09-01,31.0,21.4,23.7,7.9,21.8,24.8,24.0,16.5,10.9,25.0,53.8,1.40550402621194
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,1.1,0.6,1.1,0.6,0.0,1.0,1.4,0.029737913636606175
2011-12-01,0.0,0.0,0.0,0.0,2.9,2.8,2.6,2.1,1.3,3.1,4.4,0.10577331289110252
2012-01-01,0.0,0.0,0.0,0.0,3.5,3.9,3.4,2.7,1.7,4.9,7.5,0.14635742486693684
2012-02-01,9.2,5.2,6.1,2.3,5.9,6.8,6.4,5.3,3.4,8.3,14.6,0.40085318976793227
2012-03-01,14.4,6.5,8.3,3.9,8.2,9.8,9.8,7.9,5.1,11.9,20.8,0.5874533733319061
2012-04-01,14.4,6.5,8.3,3.9,8.2,9.8,10.4,7.9,5.1,11.9,20.8,0.59073515379211
2012-05-01,14.4,6.5,8.3,3.9,8.2,9.8,10.4,7.9,5.1,11.9,20.8,0.59073515379211
2012-06-01,14.4,6.5,8.3,3.9,8.2,9.8,10.4,7.9,5.1,11.9,20.8,0.59073515379211
2012-07-01,14.4,6.5,8.3,3.9,8.2,9.8,10.4,7.9,5.1,11.9,20.8,0.59073515379211
2012-08-01,14.4,6.5,8.3,3.9,8.2,9.8,10.4,7.9,5.1,11.9,20.8,0.59073515379211
2012-09-01,14.4,6.5,8.3,3.9,8.2,9.8,10.4,7.9,5.1,11.9,20.8,0.59073515379211
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.7,0.0,0.9,0.0,0.0,0.0,0.6,0.01085848547843981
2012-12-01,0.0,0.0,0.0,0.0,1.4,0.3,1.6,0.5,0.0,1.1,3.1,0.03676558821028853
2013-01-01,0.0,0.0,0.0,0.0,3.5,3.1,4.4,2.3,1.0,5.2,10.2,0.1451869433068367
2013-02-01,0.0,4.0,3.7,1.3,4.4,4.9,6.5,4.0,2.1,8.8,14.7,0.2872053844200645
2013-03-01,10.3,6.2,7.1,3.2,6.5,7.3,9.2,6.0,3.5,12.2,17.9,0.48643046845859655
2013-04-01,16.4,9.6,11.6,4.3,9.1,11.1,13.1,8.2,3.8,13.3,23.2,0.6686058472097253
2013-05-01,20.8,13.2,15.9,4.3,10.8,12.1,15.7,8.2,3.8,13.3,26.4,0.7683996240041778
2013-06-01,20.8,13.2,15.9,4.3,10.8,12.1,15.7,8.2,3.8,13.3,26.4,0.7683996240041778
2013-07-01,20.8,13.2,15.9,4.3,10.8,12.1,15.7,8.2,3.8,13.3,26.4,0.7683996240041778
2013-08-01,20.8,13.2,15.9,4.3,10.8,12.1,15.7,8.2,3.8,13.3,26.4,0.7683996240041778
2013-09-01,20.8,13.2,15.9,4.3,10.8,12.1,15.7,8.2,3.8,13.3,26.4,0.7683996240041778
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,1.6,2.0,1.3,1.1,0.1,0.6,3.9,0.050793776535831905
2013-12-01,0.0,0.0,0.0,0.0,3.5,4.3,3.5,2.7,1.0,3.1,9.3,0.13646590521946386
2014-01-01,0.0,0.0,0.0,0.0,5.1,6.7,5.4,4.5,2.0,5.9,14.7,0.22336606047256732
2014-02-01,9.6,7.6,11.6,4.2,9.3,11.8,10.9,8.8,5.8,9.8,22.5,0.6261464989206252
2014-03-01,20.0,12.4,15.4,7.9,12.7,15.3,14.8,11.7,8.2,14.5,31.1,0.9261674123896195
2014-04-01,24.3,15.5,19.7,8.2,15.2,19.5,18.2,14.4,9.6,18.8,40.8,1.1293633617779415
2014-05-01,25.6,15.5,19.7,8.2,15.2,19.5,18.2,14.4,9.6,18.8,40.8,1.1349770332270244
2014-06-01,25.6,15.5,19.7,8.2,15.2,19.5,18.2,14.4,9.6,18.8,40.8,1.1349770332270244
2014-07-01,25.6,15.5,19.7,8.2,15.2,19.5,18.2,14.4,9.6,18.8,40.8,1.1349770332270244
2014-08-01,25.6,15.5,19.7,8.2,15.2,19.5,18.2,14.4,9.6,18.8,40.8,1.1349770332270244
2014-09-01,25.6,15.5,19.7,8.2,15.2,19.5,18.2,14.4,9.6,18.8,40.8,1.1349770332270244
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0015607151380533444
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.4,0.003188790362352886
2014-12-01,0.0,0.0,0.0,0.0,3.9,5.0,4.2,2.6,2.3,2.0,6.5,0.1470534617347581
