statemod_diversion,individual_diversion
38_ADC035, 3800540
38_ADC035, 3800626
38_ADC035, 3800629
38_ADC035, 3800638
38_ADC035, 3800642
38_ADC035, 3800668
38_ADC035, 3800696
38_ADC035, 3800782
38_ADC035, 3801009
38_ADC035, 3801020
38_ADC035, 3801160
38_ADC035, 3801673
38_ADC036, 3800558
38_ADC036, 3800583
38_ADC036, 3800584
38_ADC036, 3800585
38_ADC036, 3800628
38_ADC036, 3800652
38_ADC036, 3800713
38_ADC036, 3800742
38_ADC036, 3800752
38_ADC036, 3800780
38_ADC036, 3800820
38_ADC036, 3800873
38_ADC036, 3801015
38_ADC036, 3801035
38_ADC036, 3801149
38_ADC036, 3801271
38_ADC037, 3800681
38_ADC037, 3800714
38_ADC037, 3800716
38_ADC037, 3800731
38_ADC037, 3800784
38_ADC037, 3800791
38_ADC037, 3800795
38_ADC037, 3800846
38_ADC037, 3800868
38_ADC037, 3800885
38_ADC037, 3800908
38_ADC037, 3800910
38_ADC037, 3800921
38_ADC037, 3800931
38_ADC037, 3801001
38_ADC037, 3801002
38_ADC037, 3801125
38_ADC038, 3800521
38_ADC038, 3800522
38_ADC038, 3800600
38_ADC038, 3800607
38_ADC038, 3800640
38_ADC038, 3800655
38_ADC038, 3800656
38_ADC038, 3800719
38_ADC038, 3800747
38_ADC038, 3800835
38_ADC038, 3800909
38_ADC038, 3801131
38_ADC038, 3801511
38_ADC039, 3800568
38_ADC039, 3800613
38_ADC039, 3800637
38_ADC039, 3800683
38_ADC039, 3800725
38_ADC039, 3800750
38_ADC039, 3800860
38_ADC039, 3800878
38_ADC039, 3800894
38_ADC039, 3800927
38_ADC039, 3800928
38_ADC039, 3800949
38_ADC039, 3800953
38_ADC039, 3800987
38_ADC039, 3801027
38_ADC039, 3801088
38_ADC039, 3801133
38_ADC039, 3801134
38_ADC039, 3801148
38_ADC039, 3801177
38_ADC039, 3801867 
38_ADC040, 3800557
38_ADC040, 3800635
38_ADC040, 3800724
38_ADC040, 3800732
38_ADC040, 3800823
38_ADC040, 3800845
38_ADC040, 3800997
39_ADC041, 3900510
39_ADC041, 3900525
39_ADC041, 3900530
39_ADC041, 3900531
39_ADC041, 3900536
39_ADC041, 3900556
39_ADC041, 3900579
39_ADC041, 3900592
39_ADC041, 3900593
39_ADC041, 3900603
39_ADC041, 3900626
39_ADC041, 3900633
39_ADC041, 3900654
39_ADC041, 3900655
39_ADC041, 3900656
39_ADC041, 3900657
39_ADC041, 3900661
39_ADC041, 3900662
39_ADC041, 3900674
39_ADC041, 3900688
39_ADC041, 3900689
39_ADC041, 3900693
39_ADC041, 3900810
39_ADC041, 3900934
39_ADC045, 3900529
39_ADC045, 3900566
39_ADC045, 3900567
39_ADC045, 3900580
39_ADC045, 3900582
39_ADC045, 3900602
39_ADC045, 3900614
39_ADC045, 3900616
39_ADC045, 3900625
39_ADC045, 3900627
39_ADC045, 3900637
39_ADC045, 3900640
39_ADC045, 3900646
39_ADC045, 3900667
39_ADC045, 3900695
39_ADC045, 3900699
39_ADC045, 3900706
39_ADC045, 3900723
39_ADC045, 3900900
45_ADC042, 3900506
45_ADC042, 3900507
45_ADC042, 3900521
45_ADC042, 3900545
45_ADC042, 3900584
45_ADC042, 3900601
45_ADC042, 3900608
45_ADC042, 3900618
45_ADC042, 3900641
45_ADC042, 3900642
45_ADC042, 3900659
45_ADC042, 3900680
45_ADC042, 3900690
45_ADC042, 3900827
45_ADC042, 4500530
45_ADC042, 4500531
45_ADC042, 4500554
45_ADC042, 4500555
45_ADC042, 4500593
45_ADC042, 4500621
45_ADC042, 4500665
45_ADC042, 4500695
45_ADC042, 4500779
45_ADC042, 4500780
45_ADC042, 4500809
45_ADC042, 4500823
45_ADC042, 4500826
45_ADC042, 4500834
45_ADC042, 4500836
45_ADC042, 4500837
45_ADC042, 4501055
45_ADC042, 4504725
45_ADC043, 3900644
45_ADC043, 4500500
45_ADC043, 4500501
45_ADC043, 4500534
45_ADC043, 4500535
45_ADC043, 4500536
45_ADC043, 4500550
45_ADC043, 4500561
45_ADC043, 4500564
45_ADC043, 4500580
45_ADC043, 4500618
45_ADC043, 4500628
45_ADC043, 4500630
45_ADC043, 4500649
45_ADC043, 4500655
45_ADC043, 4500656
45_ADC043, 4500660
45_ADC043, 4500661
45_ADC043, 4500666
45_ADC043, 4500699
45_ADC043, 4500719
45_ADC043, 4500724
45_ADC043, 4500728
45_ADC043, 4500755
45_ADC043, 4500782
45_ADC043, 4500816
45_ADC043, 4500843
45_ADC043, 4500846
45_ADC043, 4500849
45_ADC043, 4500940
45_ADC043, 4501144
45_ADC044, 3900538
45_ADC044, 3900980
45_ADC044, 4500524
45_ADC044, 4500528
45_ADC044, 4500544
45_ADC044, 4500592
45_ADC044, 4500637
45_ADC044, 4500653
45_ADC044, 4500710
45_ADC044, 4500764
45_ADC044, 4500800
45_ADC044, 4500842
45_ADC044, 4500885
45_ADC044, 4501079
45_ADC044, 4501127
45_ADC044, 4501135
45_ADC044, 4501146
45_ADC046, 3900604
45_ADC046, 4500518
45_ADC046, 4500548
