statemod_diversion,individual_diversion
72_ADC059, 7200835
72_ADC059, 7200861
72_ADC059, 7200865
72_ADC059, 7200869
72_ADC059, 7200891
72_ADC059, 7201008
72_ADC059, 7201033
72_ADC059, 7201041
72_ADC059, 7201179
72_ADC059, 7201249
72_ADC059, 7201388
72_ADC059, 7201417
72_ADC059, 7201424
72_ADC060, 7200591
72_ADC060, 7200596
72_ADC060, 7200656
72_ADC060, 7200735
72_ADC060, 7200809
72_ADC060, 7200838
72_ADC060, 7200867
72_ADC060, 7200877
72_ADC060, 7200945
72_ADC060, 7200946
72_ADC061, 7200625
72_ADC061, 7200718
72_ADC061, 7200756
72_ADC061, 7200850
72_ADC061, 7200878
72_ADC061, 7200885
72_ADC061, 7200894
72_ADC061, 7200895
72_ADC062, 7200526
72_ADC062, 7200587
72_ADC062, 7200600
72_ADC062, 7200663
72_ADC062, 7200682
72_ADC062, 7200776
72_ADC062, 7200779
72_ADC062, 7200829
72_ADC062, 7200862
72_ADC062, 7200882
72_ADC062, 7201404
72_ADC062, 7201513
72_ADC062, 7201522
72_ADC063, 7200518
72_ADC063, 7200549
72_ADC063, 7200581
72_ADC063, 7200712
72_ADC063, 7200714
72_ADC063, 7200763
72_ADC063, 7200873
72_ADC063, 7200889
72_ADC063, 7200903
72_ADC063, 7200912
72_ADC064, 7200584
72_ADC064, 7200715
72_ADC064, 7200782
72_ADC064, 7200868
72_ADC064, 7200909
72_ADC064, 7201078
72_ADC064, 7201151
72_ADC064, 7201392
72_ADC064, 7201452
72_ADC065, 7200585
72_ADC065, 7200590
72_ADC065, 7200595
72_ADC065, 7200629
72_ADC065, 7200630
72_ADC065, 7200641
72_ADC065, 7200647
72_ADC065, 7200705
72_ADC065, 7200709
72_ADC065, 7200727
72_ADC065, 7200732
72_ADC065, 7200738
72_ADC065, 7200770
72_ADC065, 7200792
72_ADC065, 7200798
72_ADC065, 7200857
72_ADC065, 7200872
72_ADC065, 7200875
72_ADC065, 7200908
72_ADC065, 7200919
72_ADC065, 7200941
72_ADC065, 7201024
72_ADC065, 7201070
72_ADC065, 7201107
72_ADC065, 7201225
72_ADC065, 7201299
72_ADC065, 7201484
72_ADC065, 7201682
